Date,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_11,45_pnl_threshold_2074.93.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,3_time_13,00_pnl_threshold_2430.59.csv","NIFTY_candle_5T_range_[50, 66]_delta_0,5_time_09,30_pnl_threshold_17538.75.csv"
2021-06-10,1643.330139795,1896.04201791,3453.19314923625
2021-06-17,-653.8088513137501,-252.72060808125,-3537.1035809662503
2021-06-24,1985.23444548,2665.3267057012504,4586.680249605
2021-07-01,2111.5903845375,1401.7673151262495,4058.958386482501
2021-07-08,-1512.7431080475,-177.04358105625,-3801.97317555375
2021-07-15,2089.292277645,1093.3101697800005,1472.3779869525
2021-07-22,193.9531917825,703.0932991612501,796.00207788
2021-07-29,1394.33461282875,959.521528425,1673.060948985
2021-08-05,2958.9184464525,1059.86300944125,4196.463378986249
2021-08-12,2063.2778196037502,632.482627335,2754.5191332712498
2021-08-18,810.867482475,1275.41137606875,773.7039709875
2021-08-26,1632.18108634875,896.34355889625,4731.61794440625
2021-09-02,312.87642854250004,-377.5877026725,1661.9118955387498
2021-09-09,2066.9941707525,606.46816929375,3843.410019855
2021-09-16,595.3191158475,350.03994003,-1505.175405345
2021-09-23,781.136673285,736.5404595,658.4970853762501
2021-09-30,888.9108565987501,2486.9418505612502,2189.6337586612503
2021-10-07,2078.14322419875,762.5549175412499,1364.6038036387502
2021-10-14,-400.29081078,390.91980266625,3776.5156991775
2021-10-21,1412.9163685724998,2605.86508732125,-6166.880270085
2021-10-28,-1754.9095945274998,-127.85351349,-4108.465135005
2021-11-03,-1630.04249993625,1171.3535439037498,-93.79885132875
2021-11-11,2159.90294947125,2427.48023218125,3609.27989748375
2021-11-18,2063.2778196037502,2683.908461445,3115.0051947
2021-11-25,2066.9941707525,1372.0365059362498,658.4970853762501
2021-12-02,2052.1287661575,2111.5903845375,2750.8027821225
2021-12-09,2059.561468455,-271.6398648375,3022.09641598125
2021-12-16,2093.0086287937497,2769.38453786625,3107.5724924025003
2021-12-23,219.96764982375,1977.8017431825,2955.20209530375
2021-12-30,2081.8595753475,1301.42583411,2572.4179269825004
2022-01-06,327.74183313750007,1572.71946796875,1598.73392601
2022-01-13,840.5982916649999,922.3580169375,6597.22622107875
2022-01-20,769.98761983875,-600.83493239625,-650.0249999625
2022-01-27,-1403.01141886125,-1981.9406756025,5311.36872361125
2022-02-03,2081.8595753475,2505.523606305,-854.35297293
2022-02-10,2100.4413310912505,1457.5125823575,4571.814845010001
2022-02-17,2119.023086835,2360.5859115037497,6255.32191539375
2022-02-24,2130.17214028125,2676.4757591475004,-282.99141889125
2022-03-03,2133.88849143,2438.6292856275,3271.0919429475
2022-03-10,-646.24114861125,680.79519226875,-2152.2139864087503
2022-03-17,2215.6482167025,2479.50914826375,4683.3053794725
2022-03-24,2081.8595753475,2382.88401839625,9692.9467279875
2022-03-31,2093.0086287937497,2468.3600948175,5058.65684549625
2022-04-07,-517.59020266875,-491.10324321,-1758.69344587875
2022-04-13,2342.00415576,2342.00415576,-3590.07749988375
2022-04-21,2159.90294947125,1966.65268973625,788.5693755825
2022-04-28,-2780.3333107162503,874.04545200375,1342.30569674625
2022-05-05,2163.61930062,-1917.61520263125,-2560.8699323437504
2022-05-12,2282.5425373800003,543.2901997650001,926.07436808625
2022-05-19,2096.7249799425003,2676.4757591475004,1606.1666283075
2022-05-26,-1126.79027022,-434.34547294125,-4388.4701349975
2022-06-02,2074.4268730500003,2408.8984764375,3687.3232716075
2022-06-09,-256.5044594325,-2496.5444593725,-2689.52087828625
2022-06-16,840.5982916649999,509.84303942625,-7960.4258105775
2022-06-23,-8293.4047294875,1059.86300944125,-7445.8220268075
2022-06-30,2171.0520029175004,2609.58143847,6712.43310669
2022-07-07,2089.292277645,2412.61482758625,6861.087152640001
2022-07-14,2059.561468455,836.88194051625,-3514.40047285875
2022-07-21,-646.24114861125,1424.06542201875,2765.6681867175
2022-07-28,2066.9941707525,1858.8785064225,1438.93082661375
2022-08-04,2089.292277645,-33.300000000000004,-2560.8699323437504
2022-08-11,2066.9941707525,2275.1098350825005,5106.969410430001
2022-08-18,2074.4268730500003,944.65612383,-48.39263511375
2022-08-25,-4505.76952688625,-7336.090337621251,-3101.9606755725
2022-09-01,-1622.47479723375,1621.0320329025,1320.00758985375
2022-09-08,2093.0086287937497,1762.253376555,1583.868521415
2022-09-15,2133.88849143,-1671.6648647999998,-1187.33189184
2022-09-22,2052.1287661575,-1864.64128371375,9696.66307913625
2022-09-29,2078.14322419875,2167.3356517687503,1992.6671477775
2022-10-06,1245.68056687875,1654.4791932412502,4092.405546821251
2022-10-13,2093.0086287937497,799.71842902875,2661.6103545525
2022-10-20,2052.1287661575,658.4970853762501,606.46816929375
2022-10-27,2059.561468455,1505.8251472912502,2382.88401839625
2022-11-03,2096.7249799425003,-453.2647296975,7608.073733538749
2022-11-10,584.17006240125,1212.23340654,1602.45027715875
2022-11-17,591.60276469875,398.35250496375,1212.23340654
2022-11-24,-7532.85060788625,-3113.31222962625,-5149.024256598749
2022-12-01,2100.4413310912505,-188.39513511,2728.50467523
2022-12-08,2052.1287661575,2405.1821252887503,3962.333256615
2022-12-15,-706.78277023125,978.10328416875,-1928.966756685
2022-12-22,1405.483666275,807.1511313262499,833.1655893674999
2022-12-29,851.74734511125,-1921.3990539825,-135.4212161925
2023-01-05,2130.17214028125,1516.9742007375,-1618.6909458825
2023-01-12,2185.9174075125,127.058871105,-865.70452698375
2023-01-19,1041.2812536975,1765.96972770375,6270.187319988751
2023-01-25,2096.7249799425003,2579.85062928,-3639.26756745
2023-02-02,2093.0086287937497,513.559390575,11313.2758288425
2023-02-09,1944.35458284375,2152.47024717375,3085.27438551
2023-02-16,231.11670327,1673.060948985,1097.02652092875
2023-02-23,-248.93675673,1505.8251472912502,1873.7439110175
2023-03-02,1056.1466582925,1011.5504445075,5337.3831816525
2023-03-09,-589.4833783424999,-105.1504053825,-5285.24290524375
2023-03-16,-3090.6091215187503,1453.79623120875,2211.93186555375
2023-03-23,922.3580169375,547.00655091375,-3465.2104052925
2023-03-29,2055.84511730625,-3525.7520269125,-771.1082432025
2023-04-06,758.8385663925001,353.75629117875,2033.5470104137496
2023-04-13,30.4320875,82.46265732,-48.39263511375
2023-04-20,2081.8595753475,1357.1711013412498,1528.12325418375
2023-04-27,353.75629117875,-282.99141889125,1940.638231695
2023-05-04,309.16007739375,301.72737509625,-1418.14682426625
2023-05-11,2111.5903845375,2446.061987925,1773.4024300012495
2023-05-18,-665.1604053675,-188.39513511,-1134.3579729225
2023-05-25,-105.1504053825,-218.66594592,-1686.8002702049998
2023-06-01,1494.676093845,309.16007739375,1026.4158491025
2023-06-08,-3363.0464188087503,643.63168078125,-2655.466216125
2023-06-15,547.00655091375,242.26575671625,201.38589408
2023-06-22,-2545.7345269387497,-1951.6698647925,-468.4001351025
2023-06-28,2059.561468455,2483.2254994125,2787.96629361
2023-07-06,2074.4268730500003,1799.4168880425,3516.371118765
2023-07-13,-1327.33439183625,-165.6920270025,-2417.0835809962505
2023-07-20,888.9108565987501,1546.7050099275,67.597252725
2023-07-27,327.74183313750007,1587.58487256375,-2545.7345269387497
2023-08-03,-880.83993238875,2304.8406442725,591.60276469875
2023-08-10,2743.370079825,1130.4736812674998,1450.07988006
2023-08-17,1899.75836905875,1182.50259735,2263.96078163625
2023-08-24,781.136673285,353.75629117875,-1410.5791215637498
2023-08-31,56.44819927875,1230.81516228375,316.59277969125003
2023-09-07,-1894.91209452375,-1183.5480404887498,-1985.72452695375
2023-09-14,2059.561468455,2256.5280793387496,-373.80385132125
2023-09-21,2070.71052190125,1914.6237736537496,141.9242757
2023-09-28,249.69845901375,4.300000000000001,-4047.923513385
2023-10-05,1134.1900324162502,520.9920928725,-1539.23006750625
2023-10-12,2078.14322419875,1650.7628420925,5419.142906925001
2023-10-19,2074.4268730500003,573.0210089550001,-1804.0996620937497
2023-10-26,2275.1098350825005,2256.5280793387496,729.1077572025
2023-11-02,1583.868521415,175.37143603875,-169.47587835374998
2023-11-09,71.31360387375,1628.4647352,1372.0365059362498
2023-11-16,2093.0086287937497,-506.238648615,-9386.937769998747
2023-11-23,2007.5325523725,688.22789456625,-1701.93567561
2023-11-30,-282.99141889125,-873.27222968625,-1788.96425668875
2023-12-07,1870.02755986875,1520.69055188625,1884.89296446375
2023-12-14,573.0210089550001,379.77074922,2423.7638810325
2023-12-21,-1403.01141886125,506.1266882775,-1304.63128372875
2023-12-28,2111.5903845375,1725.0898650675,6931.6978244662505
2024-01-04,2208.215514405,1673.060948985,2460.92739252
2024-01-11,851.74734511125,-1558.1493242625002,-1554.36547291125
2024-01-18,2066.9941707525,1528.12325418375,82.46265732
2024-01-25,2234.22997244625,-831.6498648225,3297.10640098875
2024-02-01,2498.0909040075003,2405.1821252887503,13108.27343368875
2024-02-08,2386.600369545,216.251298675,-729.48587833875
2024-02-15,301.72737509625,1412.9163685724998,2371.73496495
2024-02-22,2115.30673568625,-3733.86385123125,97.328061915
2024-02-29,2104.15768224,2553.83617123875,-2500.3283107237503
2024-03-07,2096.7249799425003,1628.4647352,7344.2128019775
2024-03-14,2119.023086835,2423.7638810325,1922.05647595125
2024-03-21,442.94871874875,1256.829620325,6697.567702095001
2024-03-28,-13257.8177023275,-13439.4425671875,-6552.8331079125
2024-04-04,2085.5759264962503,1256.829620325,-4710.09749985375
2024-04-10,2014.96525467,933.50707038375,8704.39732242
2024-04-18,-9371.80236459375,-6431.7498646725,-13412.95560772875
2024-04-25,-2734.92709450125,2639.31224766,-1187.33189184
2024-05-02,2156.1865983225,2449.77833907375,9603.7543004175
2024-05-09,-370.01999997,2509.23995745375,-1035.97783779
2024-05-16,-10802.09817536625,2438.6292856275,-16818.42182385375
2024-05-23,-1618.6909458825,2602.1487361725,-1463.55304048125
2024-06-13,2055.84511730625,1331.1566432999998,9276.7153993275
2024-06-20,1695.3590558775002,-926.24614860375,4564.3821427125
2024-06-27,2263.96078163625,2475.792797115,1914.6237736537496
2024-07-04,2104.15768224,1234.5315134325,4742.7669978525
2024-07-11,56.44819927875,1784.5514834475,1806.84959034
2024-07-18,-3154.93459449,1624.74838405125,-7608.52763491125
2024-07-25,1438.93082661375,1602.45027715875,286.86197050125
2024-08-01,2100.4413310912505,1535.5559564812502,5943.14841889875
2024-08-08,2119.023086835,2408.8984764375,918.64166578875
2024-08-14,1829.1476972325,1687.9263535799998,6541.480953847499
2024-08-22,1806.84959034,1223.38245998625,4296.8048600025
2024-08-29,-5035.50871606125,-2080.320810735,-8217.7277024625
2024-09-05,2156.1865983225,2323.4224000162503,2475.792797115
2024-09-12,2208.215514405,2479.50914826375,-10624.2571618575
2024-09-19,1353.4547501925,2245.3790258925,1468.66163580375
2024-09-26,1308.8585364075,1617.31568175375,1791.984185745
2024-10-03,2104.15768224,1215.94975768875,-3563.590540425
2024-10-10,2078.14322419875,2093.0086287937497,3200.4812711212503
2024-10-17,1840.29675067875,2315.98969771875,-1626.258648585
2024-10-24,2104.15768224,729.1077572025,6649.255137161251
2024-10-31,1542.9886587787498,1000.40139106125,1104.45922322625
2024-11-07,2126.4557891325,1595.01757486125,3494.0730118725
2024-11-14,2078.14322419875,1743.6716208112498,7058.053763523751
2024-11-21,792.28572673125,2468.3600948175,6890.81796183
2024-11-28,2133.88849143,2557.5525223875,-2507.89601342625
2024-12-05,3471.77490498,3226.4957291625,-14472.43398607875
2024-12-12,2349.4368580575,2408.8984764375,2070.71052190125
2024-12-19,2167.3356517687503,2412.61482758625,8986.840009725
2024-12-26,2063.2778196037502,613.90087159125,2319.7060488675
2025-01-02,2643.0285988087503,2557.5525223875,755.12221524375
2025-01-09,-2038.69844587125,2014.96525467,2093.0086287937497
2025-01-16,2052.1287661575,1490.95974269625,3077.8416832125004
2025-01-23,-1384.0921621050002,658.4970853762501,-797.59520266125
2025-01-30,2304.8406442725,2483.2254994125,17374.64455245375
2025-02-06,2215.6482167025,1293.9931318125,2137.60484257875
2025-02-13,2141.3211937275,-2644.1146620712498,472.67952793875
2025-02-20,2096.7249799425003,1349.73839904375,5872.5377470725
2025-02-27,1546.7050099275,1215.94975768875,5118.11846387625
2025-03-06,472.67952793875,2412.61482758625,2906.88953037
2025-03-13,2152.47024717375,528.42479517,-3476.56195934625
2025-03-20,-2212.7556080287504,955.80517727625,1647.04649094375
2025-03-27,2063.2778196037502,900.059910045,3635.294355525
2025-04-03,353.75629117875,1082.1611163337502,3586.9817905912505
2025-04-09,1825.43134608375,1762.253376555,12175.4692953525
2025-04-17,2074.4268730500003,-528.9417567225,-8070.15749976375
2025-05-08,-6957.70520249625,781.136673285,-4600.3658106675
2025-05-15,2315.98969771875,-1263.008918865,-5531.193243075
2025-05-22,2089.292277645,-3185.2054053,9767.2737509625
2025-05-29,2156.1865983225,2442.34563677625,2966.35114875
2025-06-05,851.74734511125,2538.97076664375,3906.5879893837496
2025-06-12,2185.9174075125,-3733.86385123125,-4713.881351205
2025-06-19,2081.8595753475,959.521528425,7630.37184043125
2025-06-26,2063.2778196037502,2732.22102637875,30.4320875
2025-07-03,2338.28780461125,-241.3690540275,-305.69452699875
2025-07-10,2249.0953770412502,1732.5225673649998,3687.3232716075
2025-07-17,2182.2010563637505,1145.3390858625,1201.08435309375
2025-07-24,-1289.49587832375,1219.6661088375,-3907.92101338875
2025-07-31,2126.4557891325,2420.04752988375,-7347.441891674998
2025-08-07,2215.6482167025,-4562.527297155,-1183.5480404887498
2025-08-14,2107.8740333887504,2223.080919,6351.94704526125
2025-08-21,1264.2623226225,-150.5566215975,1494.676093845
2025-08-28,86.17900846875,2643.0285988087503,-3586.2936485325
